District,Discovery County,Avg Concen,Field,Formation
7C,UPTON,546,AMACKER-TIPPETT,DEVONIAN
7C,UPTON,5516,AMACKER-TIPPETT,ELLENBURGER
7C,UPTON,157,AMACKER-TIPPETT,FUSSELMAN
7C,UPTON,2353,AMACKER-TIPPETT,STRAWN
7C,UPTON,7390,AMACKER-TIPPETT,STRAWNLO
7C,UPTON,5174,"AMACKER-TIPPETT,SW",STRAWN
7C,CROCKETT,34565,AMIGO,SANANDRES
7C,SCHLEICHER,1320,ANNIEB.,STRAWN
7C,CROCKETT,1628,B&H,QUEEN
7C,CROCKETT,22087,BACHELORHILL,GRAYBURG
7C,CROCKETT,2566,BAGGETT,ELLENBURGER
7C,CROCKETT,1800,BAIR,SANANDRES
7C,RUNNELS,100,BALLINGERSW,CADDO
7C,RUNNELS,615,"BALLINGER,WEST",JENNINGS4000
7C,REAGAN,1160,BARNHART,GRAYBURG
7C,REAGAN,4294,"BARNHART,NE.",GRAYBURG
7C,UPTON,2568,BENEDUM,ELLENBURGER
7C,UPTON,49,BENEDUM,FUSSELMAN
7C,RUNNELS,2154,BIGED,GARDNERLIME
7C,REAGAN,12876,BIGLAKE,ELLENBURGER1-11
7C,REAGAN,42642,BIGLAKE,SPRABERRY
7C,REAGAN,3075,BIGLAKE,STRAWN
7C,CROCKETT,13750,BLOCK44,SHALLOW
7C,CROCKETT,4795,"BLOCK46,EAST",GRAYBURG
7C,CROCKETT,10133,BLOCK47,SHALLOW
7C,CROCKETT,800,BLOCK47,SILURIAN
7C,REAGAN,23103,BLOCK49,2450
7C,CROCKETT,4912,BLUEGRASS,CLEARFORK
7C,CROCKETT,70,BLUEGRASS,LEONARD
7C,CROCKETT,13577,BLUEGRASS,WOLFCAMP
7C,CROCKETT,2500,BOUSCAREN,WOLFCAMP
7C,RUNNELS,1990,BRILEY,GARDNERSAND
7C,RUNNELS,1990,BRILEY,MORRISSD
7C,COKE,30897,BRONTE,CAMBRIAN
7C,COKE,31781,BRONTE,CAPPSLIME
7C,COKE,25195,BRONTE,GARDNER
7C,COKE,26195,BRONTE,4800SAND
7C,TERRELL,119,BROWN-BASSETT,ELLENBURGER
7C,TERRELL,70,BROWN-BASSETT,SILURIAN
7C,TERRELL,37,BROWN-BASSETT,STRAWN
7C,SCHLEICHER,165,BUCKHORN,STRAWN
7C,CONCHO,2797,BUENAVENTURA,CISCO
7C,UPTON,1127,C-M-R,GRAYBURG
7C,CROCKETT,24540,"CARPENTER,NW",GRAYBURG
7C,UPTON,33522,CASTLEGAP,SANANDRES
7C,RUNNELS,2925,CECILE,GARDNER
7C,SCHLEICHER,550,CHEANEY,STRAWN
7C,TOMGREEN,392,"CHRISTOVAL,S.",STRAWNREEF
7C,CROCKETT,7082,CLARACOUCH,CISCO
7C,CROCKETT,3818,CLARACOUCH,CISCOLIME
7C,CROCKETT,4882,CLARACOUCH,WOLFCAMP
7C,CROCKETT,37258,"CLARACOUCH,SOUTH",SANANDRES
7C,CROCKETT,753,CLAYTONRANCH,ELLENBURGER
7C,COKE,374,CONDA,FLIPPEN
7C,CROCKETT,21295,CONDO,ELLENBURGER
7C,CROCKETT,14666,CONDO,GRAYBURG
7C,CROCKETT,13090,CONDO,PERMOPENNDETRITAL
7C,REAGAN,3303,COPE,FUSSELMAN
7C,UPTON,19478,"CORBETT,N.",ELLENBURGER
7C,REAGAN,1400,CORKYNIX,LOWERQUEEN
7C,CROCKETT,61571,CRESSON,SANANDRES
7C,UPTON,500,DAVIS,ELLENBURGER
7C,ANDREWS,70000,DEEPROCK,GLORIETA5950
7C,CROCKETT,1359,DOCBUDDY,ELLENBURGER
7C,CROCKETT,20648,DONHAM,GRAYBURG
7C,RUNNELS,82,DORMAN,GOEN
7C,RUNNELS,4028,"DORMAN,WEST",GOEN
7C,CROCKETT,544,DOUBLE-R-,CRINOIDAL
7C,TOMGREEN,110,"DOVECREEK,E.",CLEARFORK1075
7C,CROCKETT,490,ECKLAW,SANANDRES
7C,SCHLEICHER,54,"ELDORADO,SOUTHWEST",STRAWN
7C,CROCKETT,25470,ELKHORN,ELLENBURGER
7C,CROCKETT,482,ESCONDIDO,"PENN,LOWER"
7C,CROCKETT,1476,ESCONDIDO,STRAWNUPPER
7C,CROCKETT,4497,EXECUTIVE,ELLENBURGER
7C,CROCKETT,24170,FARMER,SANANDRES
7C,RUNNELS,450,FENNELL,CAPPS
7C,RUNNELS,322,FENNELL,GOEN
7C,CROCKETT,3465,FERGUS,GRAYBURGUP
7C,TOMGREEN,5000,FISHERLAKE,STRAWN
7C,CROCKETT,326,FLATIRON,STRAWN
7C,UPTON,9000,FLATROCK,ELLENBURGER
7C,TOMGREEN,2600,FLOYDG.MILLER,STRAWN
7C,COKE,531,FORTCHADBOURNE,GARDNER
7C,COKE,257,"FORTCHADBOURNE,W.",DEEP
7C,COKE,2206,"FORTCHADBOURNE,W.",ELLEN.
7C,COKE,228,"FORTCHADBOURNE,W.",GDNR.S
7C,SUTTON,600,FORTTERRETTRANCH,CANYON2400
7C,SUTTON,900,FORTTERRETTRANCH,CANYON2800
7C,UPTON,3377,FRADEAN,ELLENBURGER
7C,CROCKETT,4261,FREEDOM,UPPERCLEARFORK
7C,CROCKETT,9577,FREEDOM,RUBYLIMESTONE
7C,CROCKETT,29256,FREEDOM,WOLFCAMP
7C,TOMGREEN,1090,FUNK,SANANDRES
7C,RUNNELS,643,GERLACH,ELLENBURGER
7C,TOMGREEN,12516,GIEBEL,STRAWN
7C,TOMGREEN,6358,GIEBELSLACK,STRAWNLIME
7C,TOMGREEN,4200,H-J,STRAWN
7C,CROCKETT,6900,"HALFF,N.",SEVENRIVERS
7C,PECOS,1600,HANSON,GRAYBURG
7C,CROCKETT,12850,HARLAW,SANANDRES
7C,TOMGREEN,1388,"HARRIETT,S.",STRAWNLIME
7C,UPTON,18866,HELUMA,ELLENBURGER
7C,UPTON,4182,"HELUMA,EAST",DEVONIAN
7C,UPTON,27135,"HELUMA,N.",ELLENBURGER
7C,COKE,318,HENDRYPOINT,CAMBRIAN
7C,CROCKETT,5000,HOLTRANCH,ELLENBURGER
7C,CROCKETT,500,HOLTRANCH,GRAYBURG
7C,CROCKETT,10728,HOLTRANCH,SANANDRES
7C,IRION,5200,HONDO,FUSSELMAN
7C,IRION,2632,HONDOPIPELINE,ELLENBURGER
7C,IRION,7749,HONDOPIPELINE,FUSSELMAN
7C,REAGAN,5799,HONDORAINBOW,FUSSELMAN
7C,TOMGREEN,272,HOUR,STRAWN
7C,CROCKETT,38766,HOWARDDRAW,GRAYBURGSANANDRES
7C,CROCKETT,35437,HOWARDDRAW,SHALLOW
7C,CROCKETT,40151,"HOWARDDRAW,NE.",QUEEN
7C,IRION,35268,HOWDA,SANANDRES
7C,CROCKETT,55,HUPPLER,ELLENBURGER
7C,COKE,798,I.A.B.,MENIELLEPENN.
7C,COKE,315,I.A.B.,"MENIELLEPENN,UPPER"
7C,COKE,78,I.A.B.,PENN5070
