DISTRICT,COUNTY,AVG CONCEN,Field,FIELD,Formation,FORMATION,FORM_ID,FORM_AGE,ABRV,LONG_NAME,Longitude,Latitude
7C,CROCKETT,96000,MIDWAYLANE,MIDWAY LANE,1050SD.,,,,,,-101.300109266193,30.900531430719308
7C,CROCKETT,96000,MIDWAYLANE,MIDWAY LANE,1050SD.,,,,,,-101.300109266193,30.900531430719308
7C,CROCKETT,96000,MIDWAYLANE,MIDWAY LANE,1050SD.,,,,,,-101.300109266193,30.900531430719308
7C,CROCKETT,96000,MIDWAYLANE,MIDWAY LANE,1050SD.,,,,,,-101.300109266193,30.900531430719308
7C,CROCKETT,96000,MIDWAYLANE,MIDWAY LANE,1050SD.,,,,,,-101.300109266193,30.900531430719308
7C,CROCKETT,96000,MIDWAYLANE,MIDWAY LANE,1050SD.,,,,,,-101.300109266193,30.900531430719308
7C,CROCKETT,96000,MIDWAYLANE,MIDWAY LANE,1050SD.,,,,,,-101.300109266193,30.900531430719308
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
7C,GLASSCOCK,1874,SPRABERRY,SPRABERRY,TRENDAREA,SPRABERRY,452SPRB,452.0,SPRB,PENNSYLVANIAN LEONARDIAN,-101.8365209974172,31.84150832812697
