,Formation,Field,Avg Concen
0,1050SD.,MIDWAYLANE,96000
1,1300,MIDWAYLANE,25037
2,2450,BLOCK49,23103
3,4800SAND,BRONTE,26195
4,5100,RAWLINGS,9862
5,880,"NOELKE,WEST",3140
6,BRECKENRIDGE,STARLIGHT,2670
7,CADDO,BALLINGERSW,100
8,CAMBRIAN,BRONTE,30897
9,CAMBRIAN,HENDRYPOINT,318
10,CANYON,MERTZON,498
11,CANYON,"NEVA,WEST",2498
12,CANYON,SIXTY-SEVEN,3960
13,CANYON2400,FORTTERRETTRANCH,600
14,CANYON2800,FORTTERRETTRANCH,900
15,CANYONSAND,MITCHELLRANCH,34
16,CAPPS,FENNELL,450
17,CAPPS,WINTERS,6701
18,"CAPPS,LOWER",ROWENA,965
19,"CAPPS,UP.",PEARLVALLEY,200
20,CAPPSLIME,BRONTE,31781
21,CAPPSLIME,ROWENA,9133
22,CISCO,BUENAVENTURA,2797
23,CISCO,CLARACOUCH,7082
24,CISCO,SHANNON,1710
25,CISCOLIME,CLARACOUCH,3818
26,CLEARFORK,BLUEGRASS,4912
27,CLEARFORK,KETCHUMMT.,4123
28,CLEARFORK1075,"DOVECREEK,E.",110
29,CLEARFORKLO.,TIPPETT,1061
30,CONNELL,PADGITT,3522
31,CONSOLIDATED,WILSHIRE,135
32,CRINOIDAL,DOUBLE-R-,544
33,CRINOIDAL,"TODD,DEEP",34490
34,DEEP,"FORTCHADBOURNE,W.",257
35,DEVONIAN,AMACKER-TIPPETT,546
36,DEVONIAN,"HELUMA,EAST",4182
37,DEVONIAN,KINGMOUNTAIN,6691
38,DEVONIAN,"KINGMOUNTAIN,S.",587
39,DEVONIAN,MCCAMEY,1616
40,DEVONIAN,TEXEL,492
41,DEVONIAN,WILSHIRE,415
42,ELLEN,IRION163,11684
43,ELLEN,PERNERRANCH,600
44,ELLEN,TRIPOLI,30638
45,ELLEN.,"FORTCHADBOURNE,W.",2206
46,ELLENBURGER,AMACKER-TIPPETT,5516
47,ELLENBURGER,BAGGETT,2566
48,ELLENBURGER,BENEDUM,2568
49,ELLENBURGER,BROWN-BASSETT,119
50,ELLENBURGER,CLAYTONRANCH,753
51,ELLENBURGER,CONDO,21295
52,ELLENBURGER,"CORBETT,N.",19478
53,ELLENBURGER,DAVIS,500
54,ELLENBURGER,DOCBUDDY,1359
55,ELLENBURGER,ELKHORN,25470
56,ELLENBURGER,EXECUTIVE,4497
57,ELLENBURGER,FLATROCK,9000
58,ELLENBURGER,FRADEAN,3377
59,ELLENBURGER,GERLACH,643
60,ELLENBURGER,HELUMA,18866
61,ELLENBURGER,"HELUMA,N.",27135
62,ELLENBURGER,HOLTRANCH,5000
63,ELLENBURGER,HONDOPIPELINE,2632
64,ELLENBURGER,HUPPLER,55
65,ELLENBURGER,JM,207
66,ELLENBURGER,"JM,N.",80
67,ELLENBURGER,"KENNEMER,W.",28500
68,ELLENBURGER,KING,200
69,ELLENBURGER,KINGMOUNTAIN,11917
70,ELLENBURGER,M.P.I.,1313
71,ELLENBURGER,MIKEHILL,1680
72,ELLENBURGER,OZONA,76250
73,ELLENBURGER,"OZONA,EAST",1982
74,ELLENBURGER,PARKER-HARRELL,1600
75,ELLENBURGER,PICCARD,582
76,ELLENBURGER,RANCHHAND,2755
77,ELLENBURGER,SERIGHT,2200
78,ELLENBURGER,TEXEL,730
79,ELLENBURGER,"TIPPETT,NORTH",16445
80,ELLENBURGER,"TIPPETT,W.",10000
81,ELLENBURGER,"TODD,DEEP",21580
82,ELLENBURGER,TOMM.,317
83,ELLENBURGER,TOMT,9805
84,ELLENBURGER,VAUGHN,18228
85,ELLENBURGER,"VAUGHN,N.",11640
86,ELLENBURGER,WEBBRAY,60000
87,ELLENBURGER,WILSHIRE,2052
88,ELLENBURGER,WORLD,24585
89,"ELLENBURGER,UPPER",WYATT,500
90,ELLENBURGER1-11,BIGLAKE,12876
91,FLIPPEN,CONDA,374
92,FUSSELMAN,AMACKER-TIPPETT,157
93,FUSSELMAN,BENEDUM,49
94,FUSSELMAN,COPE,3303
95,FUSSELMAN,HONDO,5200
96,FUSSELMAN,HONDOPIPELINE,7749
97,FUSSELMAN,HONDORAINBOW,5799
98,FUSSELMAN,LEGS,4000
99,FUSSELMAN,LONEJOEDEEP,4770
100,FUSSELMAN,SLEDGEHAMMER,5992
101,FUSSELMAN,ZZTOP,19550
102,GARDNER,BRONTE,25195
103,GARDNER,CECILE,2925
104,GARDNER,FORTCHADBOURNE,531
105,GARDNER,"PAINTROCK,S.W.",379
106,GARDNERLIME,BIGED,2154
107,GARDNERLIME,"WINTERS,SW.",142
108,GARDNERSAND,BRILEY,1990
109,GDNR.S,"FORTCHADBOURNE,W.",228
110,GLORIETA5950,DEEPROCK,70000
111,GOEN,DORMAN,82
112,GOEN,"DORMAN,WEST",4028
113,GOEN,FENNELL,322
114,GOEN,PAULTHOMAS,141
115,GOENLIME,"MOTLEY,NORTH",7958
116,GOENLM.,J.P.D.,586
117,GOENSAND,POE,169
118,GRAYBURG,BACHELORHILL,22087
119,GRAYBURG,BARNHART,1160
120,GRAYBURG,"BARNHART,NE.",4294
121,GRAYBURG,"BLOCK46,EAST",4795
122,GRAYBURG,C-M-R,1127
123,GRAYBURG,"CARPENTER,NW",24540
124,GRAYBURG,CONDO,14666
125,GRAYBURG,DONHAM,20648
126,GRAYBURG,HANSON,1600
127,GRAYBURG,HOLTRANCH,500
128,GRAYBURG,JOHNSCOTT,27011
129,GRAYBURG,MAGGIENEAL,4780
130,GRAYBURG,MIETHER,32102
131,GRAYBURG,PRICE,30573
132,GRAYBURG,SHIRK,36347
133,GRAYBURG,SUGARLOAF,950
134,GRAYBURG,"TEXON,S",5536
135,GRAYBURG,TODD,36363
136,GRAYBURG,"TODD,SW.",26066
137,GRAYBURG,"WEGER,WEST",28669
138,GRAYBURG-SANANDRES,"WEGER,SW.",21123
139,GRAYBURGSANANDRES,HOWARDDRAW,38766
140,GRAYBURGUP,FERGUS,3465
141,HOPE,STARLIGHT,6520
142,HUECO,"TIPPETT,WEST",461
143,JENNINGS,SPECK,310
144,"JENNINGS,UPPER",RAWLINGS,5282
145,JENNINGS4000,"BALLINGER,WEST",615
146,JOINS,"MCCAMEY,W.",41107
147,LEONARD,BLUEGRASS,70
148,"LEONARD,LOWER",TIPPETT,380
149,LOWERQUEEN,CORKYNIX,1400
150,MCKEE,"TIPPETT,NORTH",11905
151,MCKEE,"TIPPETT,W.",362
152,"MENIELLEPENN,UPPER",I.A.B.,315
153,MENIELLEPENN.,I.A.B.,798
154,MORRISSD,BRILEY,1990
155,PALOPINTO,KENKER,233
156,PALOPINTO,STARLIGHT,10351
157,PENN,TREK,4000
158,"PENN,LOWER",ESCONDIDO,482
159,PENN.5150,"I.A.B.,NE.",4412
160,PENN.DETRITAL,TRIPOLI,15266
161,PENN5070,I.A.B.,78
162,PENNSYLVANIAN,WILSHIRE,659
163,PERMIAN,MIDWAYLANE,82500
164,PERMIANUPPER,JM,217
165,PERMOPENNDETRITAL,CONDO,13090
166,QUEEN,B&H,1628
167,QUEEN,"HOWARDDRAW,NE.",40151
168,QUEEN,INGHAM,5042
169,QUEEN,MCCAMEY,122
170,QUEEN,NOELKE,4100
171,QUEEN,PONLAW,250
172,QUEEN,TODLAW,22150
173,QUEEN,VAUGHN,15631
174,REEF,KENKER,3600
175,RUBYLIMESTONE,FREEDOM,9577
176,SANANDRES,AMIGO,34565
177,SANANDRES,BAIR,1800
178,SANANDRES,CASTLEGAP,33522
179,SANANDRES,"CLARACOUCH,SOUTH",37258
180,SANANDRES,CRESSON,61571
181,SANANDRES,ECKLAW,490
182,SANANDRES,FARMER,24170
183,SANANDRES,FUNK,1090
184,SANANDRES,HARLAW,12850
185,SANANDRES,HOLTRANCH,10728
186,SANANDRES,HOWDA,35268
187,SANANDRES,"MIDWAYLANE,NE.",11250
188,SANANDRES,MILLSPAUGHRANCH,39000
189,SANANDRES,PEGASUS,217
190,SANANDRES,PETERSON,3112
191,SANANDRES,RIVES,20589
192,SANANDRES,ROCKER-B-,1410
193,SANANDRES,SHANNON,21866
194,SANANDRES,"SUGG,NORTH",150000
195,SANANDRES,SUSITA,27959
196,SANANDRES,TODD,37141
197,SANANDRES,"TODD,NORTH",5802
198,SANANDRES,"TODD,NW.",9737
199,SANANDRES,"TODD,W.",14231
200,SANANDRES,V-BAR,14552
201,SANANDRES,WEGER,29377
202,"SANANDRES,LO.","TODD,SW.",35655
203,"SANANDRES,UP.","TODD,SW.",14396
204,SANANGELO,MERTZON,6570
205,SEVENRIVERS,"HALFF,N.",6900
206,SHALLOW,BLOCK44,13750
207,SHALLOW,BLOCK47,10133
208,SHALLOW,HOWARDDRAW,35437
209,SILURIAN,BLOCK47,800
210,SILURIAN,BROWN-BASSETT,70
211,SILURIAN,MCCAMEY,1540
212,SILURO-DEV.,PINKPANTHER,21650
213,SOMA,LITTLE,85000
214,SPRABERRY,BIGLAKE,42642
215,STAWN-ELLEN,"TANKERSLEY,SW.",2864
216,STRAWN,AMACKER-TIPPETT,2353
217,STRAWN,"AMACKER-TIPPETT,SW",5174
218,STRAWN,ANNIEB.,1320
219,STRAWN,BIGLAKE,3075
220,STRAWN,BROWN-BASSETT,37
221,STRAWN,BUCKHORN,165
222,STRAWN,CHEANEY,550
223,STRAWN,"ELDORADO,SOUTHWEST",54
224,STRAWN,FISHERLAKE,5000
225,STRAWN,FLATIRON,326
226,STRAWN,FLOYDG.MILLER,2600
227,STRAWN,GIEBEL,12516
228,STRAWN,H-J,4200
229,STRAWN,HOUR,272
230,STRAWN,I.A.B.,498
231,STRAWN,"JAMESON,SE.",240
232,STRAWN,KINGMT.,1846
233,STRAWN,LANCASTERHILL,404
234,STRAWN,MILLER,210
235,STRAWN,"NEVA,WEST",2245
236,STRAWN,"OTTO,NORTH",800
237,STRAWN,PARKERRANCH,2364
238,STRAWN,PHYLLISSONORA,2000
239,STRAWN,RANCH,3605
240,STRAWN,RUNION,1938
241,STRAWN,SIEWILLIAMS,4000
242,STRAWN,SMITH&CARAWAY,1120
243,STRAWN,TODD,3966
244,STRAWN,"VERIBEST,EAST",86
245,STRAWN,"WORLD,EAST",1402
246,STRAWN,"WORLD,WEST",366
247,STRAWN,ZLG,900
248,"STRAWN,NORTH",SAWYER,6
249,"STRAWN,UPPER",KURTW.BOLEY,349
250,STRAWNLIME,GIEBELSLACK,6358
251,STRAWNLIME,"HARRIETT,S.",1388
252,STRAWNLO,AMACKER-TIPPETT,7390
253,STRAWNREEF,"CHRISTOVAL,S.",392
254,STRAWNREEF,MILLICAN,300
255,STRAWNREEF,SIXTYSEVEN,8698
256,STRAWNUPPER,ESCONDIDO,1476
257,STRAWNUPPER,PADGITT,15000
258,TRENDAREA,SPRABERRY,1874
259,UPPERCLEARFORK,FREEDOM,4261
260,WOLFCAMP,BLUEGRASS,13577
261,WOLFCAMP,BOUSCAREN,2500
262,WOLFCAMP,CLARACOUCH,4882
263,WOLFCAMP,FREEDOM,29256
